term,estimate,std.error,nw_std.error,nw_statistic,nw_p.value,sig
(Intercept),42.43727633091531,0.814001047311597,0.3429364292451876,123.74677261415741,1.365829903073598e-57,***
t,-0.4861386371744595,0.17052803224869015,0.06570176951463187,-7.39917114509672,2.9846504320198407e-9,***
intervention,-1.1346818063485424,1.050442260525449,0.6770891592059128,-1.675823325364258,0.10086584996697093,
time_since,0.49300992850770675,0.17157015373197387,0.08283455764267927,5.951742153732353,3.9731488978591084e-7,***
