lag,correlation
-6,0.10516207150434956
-5,-0.17293541880132743
-4,-0.1315805727161908
-3,-0.0867587534535189
-2,0.06398277220009102
-1,-2.7710249571308646e-4
0,-0.06883087858687262
1,-0.22892187828640018
2,0.23636999960787655
3,-0.2203083503642749
4,-0.03200173303645011
5,-0.04315804912458884
6,0.13330801710194598
