year_month,scenario,psoe_forecast,lower_80,upper_80,lower_95,upper_95
2026-03-01,Neutral,25.591074940909323,24.380848998477195,26.80130088334145,23.740194083598656,27.44195579821999
2026-04-01,Neutral,25.608652245504366,23.89713430418109,27.320170186827642,22.99111143475888,28.22619305624985
2026-05-01,Neutral,25.62477070488666,23.528597883956287,27.720943525817034,22.418951021267944,28.830590388505378
2026-06-01,Neutral,25.639551397310456,23.2190995124462,28.060003282174712,21.93778968268912,29.34131311193179
2026-07-01,Neutral,25.65310535202444,22.94695787661245,28.35925282743643,21.514409936824702,29.791800767224178
2026-08-01,Neutral,25.665534383298578,22.701098350860974,28.62997041573618,21.131820708202365,30.19924805839479
2026-09-01,Neutral,25.676931855230077,22.474974981355892,28.87888872910426,20.779961400376028,30.573902310084126
2026-10-01,Neutral,25.687383383073577,22.26434750042702,29.110419265720132,20.452301761582607,30.922465004564547
2026-11-01,Neutral,25.696967476363728,22.06628964906734,29.327645303660116,20.144324904431727,31.24961004829573
2026-12-01,Neutral,25.70575612866125,21.878685667151906,29.532826590170593,19.852756941954432,31.558755315368067
2027-01-01,Neutral,25.7138153583524,21.69994999575077,29.727680720954027,19.57513802300159,31.85249269370321
2027-02-01,Neutral,25.721205704564294,21.528860062703544,29.913551346425045,19.309566337326864,32.132845071801725
2027-03-01,Neutral,25.727982681921286,21.364450991585514,30.09151437225706,19.05453684611293,32.40142851772964
2027-04-01,Neutral,25.734197197558355,21.205946360391724,30.262448034724986,18.808835165763416,32.65955922935329
2027-05-01,Neutral,25.739895933524107,21.052711013336296,30.427080853711917,18.57146519734579,32.908326669702426
2027-06-01,Neutral,25.745121697445853,20.904217927717337,30.58602546717437,18.34159826820319,33.14864512668852
2026-03-01,High salience (regularization debate),25.308694846364247,24.09846890393212,26.518920788796375,23.45781398905358,27.159575703674914
2026-04-01,High salience (regularization debate),25.332332534090792,23.620814592767516,27.043850475414068,22.714791723345307,27.949873344836277
2026-05-01,High salience (regularization debate),25.354387276583306,23.258214455652933,27.45056009751368,22.14856759296459,28.560206960202024
2026-06-01,High salience (regularization debate),25.37496507894867,22.954513194084413,27.795416963812926,21.673203364327335,29.076726793570003
2026-07-01,High salience (regularization debate),25.394164847448877,22.68801737203689,28.100312322860866,21.25546943224914,29.532860262648615
2026-08-01,High salience (regularization debate),25.41207886488944,22.447642832451837,28.376514897327045,20.87836518979323,29.945792539985653
2026-09-01,High salience (regularization debate),25.428793234172453,22.226836360298268,28.630750108046637,20.531822779318404,30.325763689026502
2026-10-01,High salience (regularization debate),25.44438829214623,22.021352409499674,28.867424174792784,20.20930667065526,30.6794699136372
2026-11-01,High salience (regularization debate),25.458938995740695,21.828261168444307,29.089616823037083,19.906296423808698,31.011581567672692
2026-12-01,High salience (regularization debate),25.4725152822444,21.645444820735058,29.299585743753745,19.619516095537584,31.32551446895122
2027-01-01,High salience (regularization debate),25.48518240545492,21.471317042853293,29.49904776805655,19.34650507010411,31.62385974080573
2027-02-01,High salience (regularization debate),25.497001249318192,21.30465560745744,29.689346891178943,19.08536188208076,31.908640616555623
2027-03-01,High salience (regularization debate),25.50802862056445,21.144496930228676,29.87156031090022,18.834582784756094,32.181474456372804
2027-04-01,High salience (regularization debate),25.518317521747132,20.9900666845805,30.046568358913763,18.592955489952192,32.44367955354207
2027-05-01,High salience (regularization debate),25.527917405997236,20.840732485809426,30.215102326185047,18.35948666981892,32.69634814217555
2027-06-01,High salience (regularization debate),25.536874414717516,20.695970644989,30.377778184446033,18.133350985474852,32.940397843960184
2026-03-01,Low salience (issue fades),25.732264988181864,24.522039045749736,26.942490930613992,23.881384130871197,27.58314584549253
2026-04-01,Low salience (issue fades),25.78842459481076,24.076906653487484,27.499942536134036,23.170883784065275,28.405965405556245
2026-05-01,Low salience (issue fades),25.835649006707058,23.739476185776685,27.93182182763743,22.629829323088344,29.04146869032577
2026-06-01,Low salience (issue fades),25.87535984538312,23.45490796051886,28.29581173024738,22.173598130761786,29.577121560004453
2026-07-01,Low salience (issue fades),25.908752547272538,23.20260507186055,28.614900022684527,21.7700571320728,30.047447962472276
2026-08-01,Low salience (issue fades),25.936832350586986,22.972396318149382,28.90126838302459,21.403118675490774,30.4705460256832
2026-09-01,Low salience (issue fades),25.960444556535137,22.758487682660952,29.16240143040932,21.063474101681088,30.857415011389186
2026-10-01,Low salience (issue fades),25.980299975873166,22.55726409322661,29.40333585851972,20.745218354382196,31.215381597364136
2026-11-01,Low salience (issue fades),25.996996326817875,22.366318499521487,29.627674154114263,20.444353754885874,31.549638898749876
2026-12-01,Low salience (issue fades),26.0110362284751,22.183965766965756,29.838106689984443,20.15803704176828,31.864035415181917
2027-01-01,Low salience (issue fades),26.022842331449173,22.00897696884755,30.036707694050797,19.884164996098363,32.16151966679998
2027-02-01,Low salience (issue fades),26.03277004111819,21.840424399257444,30.225115682978938,19.62113067388076,32.444409408355625
2027-03-01,Low salience (issue fades),26.041118216590544,21.67758652625477,30.404649906926316,19.36767238078219,32.7145640523989
2027-04-01,Low salience (issue fades),26.048138167419157,21.519887330252526,30.57638900458579,19.122776135624218,32.9735001992141
2027-05-01,Low salience (issue fades),26.054041218906193,21.366856298718382,30.741226139094003,18.885610482727877,33.22247195508451
2027-06-01,Low salience (issue fades),26.0590050737407,21.218101304012183,30.899908843469216,18.655481644498035,33.46252850298337
