year_month,psoe_avg,pp_avg,vox_avg,sumar_avg,n_polls
2023-11-01,29.089905555555557,33.95826666666667,10.364888888888888,10.859388888888889,18
2023-12-01,28.86069411764706,33.80391176470588,10.015823529411765,10.251058823529412,17
2024-01-01,29.155116666666665,32.722991666666665,9.809666666666667,9.800666666666666,12
2024-02-01,28.992884615384614,34.787607692307695,9.785846153846155,9.607076923076923,13
2024-03-01,28.07358888888889,35.2097,10.615944444444445,9.445222222222222,18
2024-04-01,29.015191666666666,32.60086666666667,10.097666666666667,7.77675,12
2024-05-01,29.311777777777777,31.818805555555556,11.263555555555556,7.486666666666666,18
2024-06-01,28.42605,29.098085714285713,10.688857142857144,6.539642857142857,14
2024-07-01,28.82862,29.78316,10.237933333333334,6.1974,15
2024-08-01,29.47891,32.98064,10.4867,6.2801,10
2024-09-01,27.877264705882354,30.202105882352942,10.196,6.341058823529412,17
2024-10-01,26.96216,31.551286666666666,10.8612,6.156533333333333,15
2024-11-01,26.160115789473686,28.77232105263158,12.104105263157894,5.281789473684211,19
2024-12-01,26.91355,29.477912500000002,12.7749375,5.779125,16
2025-01-01,26.532973333333334,28.96106,12.474933333333333,5.840466666666667,15
2025-02-01,27.692684615384614,30.86383076923077,14.337615384615384,6.0581538461538464,13
2025-03-01,26.682711764705882,28.831282352941177,12.55635294117647,5.659294117647059,17
2025-04-01,26.998784615384615,28.800192307692306,13.035846153846153,5.379384615384615,13
2025-05-01,27.175947368421053,30.830305263157893,13.309263157894737,5.6027894736842105,19
2025-06-01,24.302047368421054,27.520594736842106,12.95621052631579,5.321315789473684,19
2025-07-01,23.67134375,29.08976875,14.6349375,5.8245625,16
2025-08-01,25.69065714285714,31.98532857142857,16.972857142857144,6.797714285714286,7
2025-09-01,25.335994736842107,26.653347368421052,15.729052631578947,5.702263157894737,19
2025-10-01,26.199035714285714,26.915035714285715,16.5625,6.002285714285715,14
2025-11-01,26.632506666666668,27.46716,16.966933333333333,5.881571428571428,15
2025-12-01,25.540341176470587,26.618058823529413,16.736235294117648,5.916882352941177,17
2026-01-01,24.918123529411766,27.125664705882354,15.870882352941177,5.742588235294117,17
2026-02-01,25.790835714285713,28.264664285714286,18.790214285714285,6.1073076923076925,14
