province,year,unemployment_rate,n_quarters
Zamora,2024,12.879999999999999,4
Zamora,2025,10.6775,4
Zaragoza,2022,9.76,4
Zaragoza,2023,8.4975,4
Zaragoza,2024,8.045,4
Zaragoza,2025,8.4275,4
Ávila,2022,13.935,4
Ávila,2023,11.635,4
Ávila,2024,11.1425,4
Ávila,2025,8.879999999999999,4
NA,2022,13.035,4
NA,2023,12.185,4
NA,2024,11.344999999999999,4
NA,2025,10.5075,4
