url,ministry,year,slug,date
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/130825-situacion-humanitaria-gaza.aspx,exteriores,2025,130825-situacion-humanitaria-gaza,2025-08-13
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/140425-felicitacion_noboa.aspx,exteriores,2025,140425-felicitacion_noboa,2025-04-14
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/140625-exteriores-maraton-oriente-proximo.aspx,exteriores,2025,140625-exteriores-maraton-oriente-proximo,2025-06-14
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/140825-declaracion-situacion-humanitaria-sudan.aspx,exteriores,2025,140825-declaracion-situacion-humanitaria-sudan,2025-08-14
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/140925-albares-delegaciones-eeuu-china.aspx,exteriores,2025,140925-albares-delegaciones-eeuu-china,2025-09-14
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/150125-alto-fuego-gaza.aspx,exteriores,2025,150125-alto-fuego-gaza,2025-01-15
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/150725-mediterraneo-vecindad-sur.aspx,exteriores,2025,150725-mediterraneo-vecindad-sur,2025-07-15
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/160625-albares-unesco-barcelona-mondiacult.aspx,exteriores,2025,160625-albares-unesco-barcelona-mondiacult,2025-06-16
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/160725-albares-cervantes-mauritania.aspx,exteriores,2025,160725-albares-cervantes-mauritania,2025-07-16
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/160925-respecto-flotilla-gaza-derecho.aspx,exteriores,2025,160925-respecto-flotilla-gaza-derecho,2025-09-16
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/170425-albares-reunion-ministro-marruecos.aspx,exteriores,2025,170425-albares-reunion-ministro-marruecos,2025-04-17
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/170725-albares-acuerdo-montenegro.aspx,exteriores,2025,170725-albares-acuerdo-montenegro,2025-07-17
