province,fk_periodo,year,quarter,date,unemployment_rate
Valladolid,21,2023,3,2023-09-01,9.27
Valladolid,20,2023,2,2023-06-01,9.28
Valladolid,19,2023,1,2023-03-01,9.84
Valladolid,22,2022,4,2022-12-01,7.71
Valladolid,21,2022,3,2022-09-01,7.5
Valladolid,20,2022,2,2022-06-01,9.54
Valladolid,19,2022,1,2022-03-01,9.4
Valladolid,22,2021,4,2021-12-01,8.56
Valladolid,21,2021,3,2021-09-01,9.65
Valladolid,20,2021,2,2021-06-01,12.65
Valladolid,19,2021,1,2021-03-01,12.82
Zamora,22,2025,4,2025-12-01,10.84
Zamora,21,2025,3,2025-09-01,10.34
Zamora,20,2025,2,2025-06-01,9.32
Zamora,19,2025,1,2025-03-01,12.21
Zamora,22,2024,4,2024-12-01,11.86
Zamora,21,2024,3,2024-09-01,13.95
Zamora,20,2024,2,2024-06-01,10.36
Zamora,19,2024,1,2024-03-01,15.35
Zamora,22,2023,4,2023-12-01,15.58
Zamora,21,2023,3,2023-09-01,12.91
Zamora,20,2023,2,2023-06-01,11.73
Zamora,19,2023,1,2023-03-01,14.33
Zamora,22,2022,4,2022-12-01,13.69
Zamora,21,2022,3,2022-09-01,10.36
Zamora,20,2022,2,2022-06-01,12.19
Zamora,19,2022,1,2022-03-01,13.3
Zamora,22,2021,4,2021-12-01,9.25
Zamora,21,2021,3,2021-09-01,10.79
Zamora,20,2021,2,2021-06-01,11.74
Zamora,19,2021,1,2021-03-01,13.18
Zaragoza,22,2025,4,2025-12-01,8.46
Zaragoza,21,2025,3,2025-09-01,9.02
Zaragoza,20,2025,2,2025-06-01,7.86
Zaragoza,19,2025,1,2025-03-01,8.37
Zaragoza,22,2024,4,2024-12-01,7.2
Zaragoza,21,2024,3,2024-09-01,9.47
Zaragoza,20,2024,2,2024-06-01,7.78
Zaragoza,19,2024,1,2024-03-01,7.73
Zaragoza,22,2023,4,2023-12-01,7.28
Zaragoza,21,2023,3,2023-09-01,8.34
Zaragoza,20,2023,2,2023-06-01,8.94
Zaragoza,19,2023,1,2023-03-01,9.43
Zaragoza,22,2022,4,2022-12-01,9.67
Zaragoza,21,2022,3,2022-09-01,9.53
Zaragoza,20,2022,2,2022-06-01,8.78
Zaragoza,19,2022,1,2022-03-01,11.06
Zaragoza,22,2021,4,2021-12-01,9.88
Zaragoza,21,2021,3,2021-09-01,9.57
Zaragoza,20,2021,2,2021-06-01,12.14
Zaragoza,19,2021,1,2021-03-01,13.35
Ceuta,22,2025,4,2025-12-01,22.21
Ceuta,21,2025,3,2025-09-01,25.47
Ceuta,20,2025,2,2025-06-01,23.74
Ceuta,19,2025,1,2025-03-01,26.01
Ceuta,22,2024,4,2024-12-01,21.79
Ceuta,21,2024,3,2024-09-01,29.3
Ceuta,20,2024,2,2024-06-01,29.55
Ceuta,19,2024,1,2024-03-01,28.99
Ceuta,22,2023,4,2023-12-01,32.66
Ceuta,21,2023,3,2023-09-01,30.5
Ceuta,20,2023,2,2023-06-01,29.42
Ceuta,19,2023,1,2023-03-01,27.34
Ceuta,22,2022,4,2022-12-01,33.34
Ceuta,21,2022,3,2022-09-01,29.6
Ceuta,20,2022,2,2022-06-01,23.65
Ceuta,19,2022,1,2022-03-01,32.82
Ceuta,22,2021,4,2021-12-01,31.17
Ceuta,21,2021,3,2021-09-01,33.59
Ceuta,20,2021,2,2021-06-01,28.1
Ceuta,19,2021,1,2021-03-01,30.54
Melilla,22,2025,4,2025-12-01,23
Melilla,21,2025,3,2025-09-01,23.76
Melilla,20,2025,2,2025-06-01,25.91
Melilla,19,2025,1,2025-03-01,26.6
Melilla,22,2024,4,2024-12-01,25.8
Melilla,21,2024,3,2024-09-01,27.09
Melilla,20,2024,2,2024-06-01,27.93
Melilla,19,2024,1,2024-03-01,32.44
Melilla,22,2023,4,2023-12-01,29.57
Melilla,21,2023,3,2023-09-01,23.61
Melilla,20,2023,2,2023-06-01,22.55
Melilla,19,2023,1,2023-03-01,30.8
Melilla,22,2022,4,2022-12-01,26.15
Melilla,21,2022,3,2022-09-01,22.84
Melilla,20,2022,2,2022-06-01,29.21
Melilla,19,2022,1,2022-03-01,25.41
Melilla,22,2021,4,2021-12-01,26.51
Melilla,21,2021,3,2021-09-01,22.82
Melilla,20,2021,2,2021-06-01,24.24
Melilla,19,2021,1,2021-03-01,27.81
