province,year,indicator,value
Murcia,2025,unemployment_rate,12.1025
Málaga,2022,unemployment_rate,18.4425
Málaga,2023,unemployment_rate,16.822499999999998
Málaga,2024,unemployment_rate,13.559999999999999
Málaga,2025,unemployment_rate,12.9825
Navarra,2022,unemployment_rate,9.735
Navarra,2023,unemployment_rate,9.945
Navarra,2024,unemployment_rate,7.64
Navarra,2025,unemployment_rate,7.6899999999999995
Ourense,2022,unemployment_rate,11.4875
Ourense,2023,unemployment_rate,9.57
Ourense,2024,unemployment_rate,10.98
Ourense,2025,unemployment_rate,9.48
Palencia,2022,unemployment_rate,9.5075
Palencia,2023,unemployment_rate,8.735
Palencia,2024,unemployment_rate,7
Palencia,2025,unemployment_rate,7.61
"Palmas, Las",2022,unemployment_rate,17.32
"Palmas, Las",2023,unemployment_rate,15.0475
"Palmas, Las",2024,unemployment_rate,14.015
"Palmas, Las",2025,unemployment_rate,14.705
Pontevedra,2022,unemployment_rate,12.657499999999999
Pontevedra,2023,unemployment_rate,10.9925
Pontevedra,2024,unemployment_rate,11.2775
Pontevedra,2025,unemployment_rate,10.004999999999999
"Rioja, La",2022,unemployment_rate,9.55
"Rioja, La",2023,unemployment_rate,9.375
"Rioja, La",2024,unemployment_rate,9.745000000000001
"Rioja, La",2025,unemployment_rate,8.1175
Salamanca,2022,unemployment_rate,11.2225
Salamanca,2023,unemployment_rate,10.82
Salamanca,2024,unemployment_rate,11.8475
Salamanca,2025,unemployment_rate,7.9775
Santa Cruz de Tenerife,2022,unemployment_rate,18.005000000000003
Santa Cruz de Tenerife,2023,unemployment_rate,17.2425
Santa Cruz de Tenerife,2024,unemployment_rate,13.48
Santa Cruz de Tenerife,2025,unemployment_rate,12.2
Segovia,2022,unemployment_rate,8.2725
Segovia,2023,unemployment_rate,8.065
Segovia,2024,unemployment_rate,6.6925
Segovia,2025,unemployment_rate,5.91
Sevilla,2022,unemployment_rate,17.3875
Sevilla,2023,unemployment_rate,16.7325
Sevilla,2024,unemployment_rate,13.9525
Sevilla,2025,unemployment_rate,13.865
Soria,2022,unemployment_rate,8.1
Soria,2023,unemployment_rate,7.785
Soria,2024,unemployment_rate,6.34
Soria,2025,unemployment_rate,7.7275
Tarragona,2022,unemployment_rate,11.395
Tarragona,2023,unemployment_rate,11.275
Tarragona,2024,unemployment_rate,12.6975
Tarragona,2025,unemployment_rate,11.2325
Teruel,2022,unemployment_rate,8.94
Teruel,2023,unemployment_rate,9.3925
Teruel,2024,unemployment_rate,7.197500000000001
Teruel,2025,unemployment_rate,7.63
Toledo,2022,unemployment_rate,15.185
Toledo,2023,unemployment_rate,13.64
Toledo,2024,unemployment_rate,13.87
Toledo,2025,unemployment_rate,13.525
Valencia/València,2022,unemployment_rate,12.5525
Valencia/València,2023,unemployment_rate,11.97
Valencia/València,2024,unemployment_rate,11.7025
Valencia/València,2025,unemployment_rate,11.004999999999999
Valladolid,2022,unemployment_rate,8.5375
Valladolid,2023,unemployment_rate,9.372499999999999
Valladolid,2024,unemployment_rate,10.005
Valladolid,2025,unemployment_rate,8.7925
Zamora,2022,unemployment_rate,12.385
Zamora,2023,unemployment_rate,13.6375
Zamora,2024,unemployment_rate,12.879999999999999
Zamora,2025,unemployment_rate,10.6775
Zaragoza,2022,unemployment_rate,9.76
Zaragoza,2023,unemployment_rate,8.4975
Zaragoza,2024,unemployment_rate,8.045
Zaragoza,2025,unemployment_rate,8.4275
Ávila,2022,unemployment_rate,13.935
Ávila,2023,unemployment_rate,11.635
Ávila,2024,unemployment_rate,11.1425
Ávila,2025,unemployment_rate,8.879999999999999
NA,2022,unemployment_rate,13.035
NA,2023,unemployment_rate,12.185
NA,2024,unemployment_rate,11.344999999999999
NA,2025,unemployment_rate,10.5075
Total Nacional,2020,foreign_pop_national,5275660.825355001
Total Nacional,2021,foreign_pop_national,5346513.474555999
Total Nacional,2022,foreign_pop_national,5493719.199497998
