year,date,total_pop,spanish_pop,foreign_pop,pct_foreign
2020,2020-01-01,47344149.2325185,42068488.4071635,5275660.825355001,11.14
2021,2021-01-01,47364998.3598995,42018484.8853435,5346513.474555999,11.29
2022,2022-01-01,47523963.4039955,42030244.2044975,5493719.199497998,11.56
